Individual Components:,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Characteristics,Critical,Description,MFN,MPN,Notes,Package ID,Source,Subsystem
,,D4,1N4148W-7-F,Device:D_Filled,~,http://www.diodes.com/_files/datasheets/ds30086.pdf,DIODE GEN PURP 100V 300MA SOD123,N,ATMEGA16U2 ICSP Reset Voltage Spike Protection,Diodes Inc,1N4148W-7-F,~,SOD123,ANY,16U2_Sub
,,D5,LED,Device:LED_Filled,~,http://www.osram-os.com/Graphics/XPic9/00078860_0.pdf,LED CHIPLED 570NM GREEN,N,Serial Tx Green LED,OSRAM Opto,LG R971-KN-1,~,SMD_0805,ANY,16U2_Sub
,,D6,LED,Device:LED_Filled,~,http://www.osram-os.com/Graphics/XPic9/00078860_0.pdf,LED CHIPLED 570NM GREEN,N,Serial Rx Green LED,OSRAM Opto,LG R971-KN-1,~,SMD_0805,ANY,16U2_Sub
,,D7,1N4148W-7-F,Device:D_Filled,~,http://www.diodes.com/_files/datasheets/ds30086.pdf,DIODE GEN PURP 100V 300MA SOD123,N,ATMEGA328P ICSP Reset Voltage Spike Protection,Diodes Inc,1N4148W-7-F,~,SOD123,ANY,328P_Sub
,,FB1,BLM21PG221SN1D,Device:FerriteBead,~,http://search.murata.co.jp/Ceramy/image/img/PDF/ENG/L0110S0100BLM21P.pdf,"2 A, FERRITE CHIP, EIA STD PACKAGE SIZE 0805",N,USB Ferrite Bead,Murata,BLM21PG221SN1D,Must meet 2A tolerance rating,SMD_0805,ANY,USB_Cnxn
,,ICSP1,M20-9980346,Connector_Generic:Conn_02x03_Odd_Even,~,http://cdn.harwin.com/pdfs/M20-998.pdf,"6 CONTACT(S), MALE, STRAIGHT TWO PART BOARD CONNECTOR",N,ATMEGA16U2 ICSP Header,Harwin,M20-9980346,~,PTH,ANY,16U2_Sub
,,ICSP2,M20-9980346,Connector_Generic:Conn_02x03_Odd_Even,~,http://cdn.harwin.com/pdfs/M20-998.pdf,"6 CONTACT(S), MALE, STRAIGHT TWO PART BOARD CONNECTOR",N,ATMEGA328P ICSP Header,Harwin,M20-9980346,~,PTH,ANY,328P_Sub
,,J1,USB_TYPE_B,Arduino_Uno_R3_From_Scratch:USB_TYPE_B,~,http://images.ihscontent.net/vipimages/VipMasterIC/IC/TYEL/TYELS17825/TYELS17825-1.pdf,"4 CONTACT(S), FEMALE, RIGHT ANGLE USB TYPE-B CONNECTOR",Y,USB Type-B Connector,TE Connectivity,292304-1,Must match footprint,PTH,ANY,USB_Cnxn
,,JP2,NO_POP,Connector_Generic:Conn_02x02_Odd_Even,~,~,FOOTPRINT ONLY,FOOTPRINT ONLY,FOOTPRINT ONLY,FOOTPRINT ONLY,FOOTPRINT ONLY,~,PTH,FOOTPRINT ONLY,16U2_Sub
,,MF-MSMF050-2,500mA,Device:Thermistor,~,http://www.bourns.com/data/global/pdfs/mfmsmf.pdf,"500mA EMPERATURE DEPENDENT, PTC RESETTABLE FUSE",N,PTC Resettable Fuse on USBVCC,Bourns,MF-MSMF050-2,~,SMD,ANY,USB_Cnxn
,,P1,Power Header,Connector_Generic:Conn_01x08,~,http://sullinscorp.com/catalogs/101_PAGE114-115_.100_FEMALE_HDR.pdf,"Connector Header 8 Position 0.100"" (2.54mm) Gold Surface Mount",N,Shield Header 8POS - PWR,Sullins Connector,NPPC081KFXC-RC,~,SMD,ANY,Shield_Headers
,,P2,Analog Header,Connector_Generic:Conn_01x06,~,http://sullinscorp.com/catalogs/101_PAGE114-115_.100_FEMALE_HDR.pdf,"Connector Header 6 Position 0.100"" (2.54mm) Gold Surface Mount",N,Shield Header 6POS - ANLG,Sullins Connector,NPPC061KFXC-RC,~,SMD,ANY,Shield_Headers
,,P3,Digital Header 02,Connector_Generic:Conn_01x10,~,http://sullinscorp.com/catalogs/101_PAGE114-115_.100_FEMALE_HDR.pdf,"Connector Header 10 Position 0.100"" (2.54mm) Gold Surface Mount",N,Shield Header 10POS - DIG02,Sullins Connector,NPPC101KFXC-RC,~,SMD,ANY,Shield_Headers
,,P4,Digital Header 01,Connector_Generic:Conn_01x08,~,http://sullinscorp.com/catalogs/101_PAGE114-115_.100_FEMALE_HDR.pdf,"Connector Header 8 Position 0.100"" (2.54mm) Gold Surface Mount",N,Shield Header 8POS - DIG01,Sullins Connector,NPPC081KFXC-RC,~,SMD,ANY,Shield_Headers
,,Q1,FDN340P,Device:Q_PMOS_GSD,~,https://www.fairchildsemi.com/datasheets/FD/FDN340P.pdf,"2000 mA, 20 V, P-CHANNEL, Si, SMALL SIGNAL, MOSFET, SUPERSOT-3",N,USBVCC MOSFET,Fairchild Semiconductor,FDN340P,~,SOT23,ANY,Voltage_Mgmt
,,R1,510,Device:R,~,http://www.yageo.com/pdf/Pu-RC0805_51_PbFree_L_2.pdf,"RESISTOR, METAL GLAZE/THICK FILM, 0.125W, 1%, 100ppm, 510ohm, SURFACE MOUNT, 0805",N,Power On LED Resistor,Yageo,RC0805FR-07510RL,~,SMD_0805,ANY,Voltage_Reg
,,R2,10K,Device:R,~,http://images.ihscontent.net/vipimages/VipMasterIC/IC/VISH/VISHS75859/VISHS75859-1.pdf,"RESISTOR, METAL GLAZE/THICK FILM, 0.125W, 5%, 200ppm, 10000ohm, SURFACE MOUNT, 0805",N,10K Comparator Voltage Divider Resistor,Vishay,CRCW080510K0JNEA,~,SMD_0805,ANY,Voltage_Mgmt
,,R3,10K,Device:R,~,http://images.ihscontent.net/vipimages/VipMasterIC/IC/VISH/VISHS75859/VISHS75859-1.pdf,"RESISTOR, METAL GLAZE/THICK FILM, 0.125W, 5%, 200ppm, 10000ohm, SURFACE MOUNT, 0805",N,10K Comparator Voltage Divider Resistor,Vishay,CRCW080510K0JNEA,~,SMD_0805,ANY,Voltage_Mgmt
,,R4,510,Device:R,~,http://www.yageo.com/pdf/Pu-RC0805_51_PbFree_L_2.pdf,"RESISTOR, METAL GLAZE/THICK FILM, 0.125W, 1%, 100ppm, 510ohm, SURFACE MOUNT, 0805",N,Power On LED Resistor,Yageo,RC0805FR-07510RL,~,SMD_0805,ANY,Pin13_LED
,,R5,22R,Device:R,~,http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/R-Chip/PYu-RC_Group_51_RoHS_L_3.pdf,RES SMD 22 OHM 5% 1/8W 0805,Y,22R USB Termination Resistor,Yageo,RC0805JR-0722RL,Must match 5% tolerance,SMD_0805,ANY,USB_Cnxn
,,R6,22R,Device:R,~,http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/R-Chip/PYu-RC_Group_51_RoHS_L_3.pdf,RES SMD 22 OHM 5% 1/8W 0805,Y,22R USB Termination Resistor,Yageo,RC0805JR-0722RL,Must match 5% tolerance,SMD_0805,ANY,USB_Cnxn
,,R7,10K,Device:R,~,http://images.ihscontent.net/vipimages/VipMasterIC/IC/VISH/VISHS75859/VISHS75859-1.pdf,"RESISTOR, METAL GLAZE/THICK FILM, 0.125W, 5%, 200ppm, 10000ohm, SURFACE MOUNT, 0805",N,ATMEGA16U2 10K ICSP Pull Up,Vishay,CRCW080510K0JNEA,~,SMD_0805,ANY,16U2_Sub
,,R8,0,Device:R,~,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0001+ERJ6GEY0R00V+7+WW,RES SMD 0.0 OHM JUMPER 1/8W 0805,N,ATMEGA16U2 UGND to GND Link,Panasonic,ERJ-6GEY0R00V,~,SMD_0805,ANY,16U2_Sub
,,R9,1M,Device:R,~,http://www.vishay.com/docs/20035/dcrcwe3.pdf,RES SMD 1M OHM 1% 1/8W 0805,N,ATMEGA16U2 Xtal 1M Feedback Resistor,Vishay,CRCW08051M00FKEA,~,SMD_0805,ANY,16U2_Sub
,,R10,510,Device:R,~,http://www.yageo.com/pdf/Pu-RC0805_51_PbFree_L_2.pdf,"RESISTOR, METAL GLAZE/THICK FILM, 0.125W, 1%, 100ppm, 510ohm, SURFACE MOUNT, 0805",N,Serial Tx LED Resistor,Yageo,RC0805FR-07510RL,~,SMD_0805,ANY,16U2_Sub
,,R11,510,Device:R,~,http://www.yageo.com/pdf/Pu-RC0805_51_PbFree_L_2.pdf,"RESISTOR, METAL GLAZE/THICK FILM, 0.125W, 1%, 100ppm, 510ohm, SURFACE MOUNT, 0805",N,Serial Rx LED Resistor,Yageo,RC0805FR-07510RL,~,SMD_0805,ANY,16U2_Sub
,,R12,1K,Device:R,~,http://images.ihscontent.net/vipimages/VipMasterIC/IC/VISH/VISHS75859/VISHS75859-1.pdf,"METAL GLAZE/THICK FILM, 0.125W, 5%, 200ppm, 1000ohm, SURFACE MOUNT, 0805,",N,ATMEGA328P DTR Pull Down Resistor,Vishay,CRCW08051K00JNEA,~,SMD_0805,ANY,328P_Sub
,,R13,0,Device:R,~,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0001+ERJ6GEY0R00V+7+WW,RES SMD 0.0 OHM JUMPER 1/8W 0805,N,ATMEGA328P DTR 0R Link,Panasonic,ERJ-6GEY0R00V,~,SMD_0805,ANY,328P_Sub
,,R14,1K,Device:R,~,http://images.ihscontent.net/vipimages/VipMasterIC/IC/VISH/VISHS75859/VISHS75859-1.pdf,"METAL GLAZE/THICK FILM, 0.125W, 5%, 200ppm, 1000ohm, SURFACE MOUNT, 0805,",N,ATMEGA328P Serial Tx Terminator,Vishay,CRCW08051K00JNEA,~,SMD_0805,ANY,328P_Sub
,,R15,1K,Device:R,~,http://images.ihscontent.net/vipimages/VipMasterIC/IC/VISH/VISHS75859/VISHS75859-1.pdf,"METAL GLAZE/THICK FILM, 0.125W, 5%, 200ppm, 1000ohm, SURFACE MOUNT, 0805,",N,ATMEGA328P Serial Rx Terminator,Vishay,CRCW08051K00JNEA,~,SMD_0805,ANY,328P_Sub
,,R16,10K,Device:R,~,http://images.ihscontent.net/vipimages/VipMasterIC/IC/VISH/VISHS75859/VISHS75859-1.pdf,"RESISTOR, METAL GLAZE/THICK FILM, 0.125W, 5%, 200ppm, 10000ohm, SURFACE MOUNT, 0805",N,ATMEGA328P 10K ICSP Pull Up,Vishay,CRCW080510K0JNEA,~,SMD_0805,ANY,328P_Sub
,,R17,1M,Device:R,~,http://www.vishay.com/docs/20035/dcrcwe3.pdf,RES SMD 1M OHM 1% 1/8W 0805,N,ATMEGA328P Xtal 1M Feedback Resistor,Vishay,CRCW08051M00FKEA,~,SMD_0805,ANY,328P_Sub
,,SW1,RESET_SWITCH,Arduino_Uno_R3_From_Scratch:RESET_SWITCH,,http://industrial.panasonic.com/www-data/pdf/ATK0000/ATK0000CE28.pdf,SWITCH TACTILE SPST-NO 0.02A 15V,N,Reset Pushbutton,Panasonic,EVQ-Q2U02W,Prefer below 3mm in accuator height off PCB,SMD,ANY,328P_Sub
,,U1,LD1117S50TR,MFN_STMicro:LD1117S50TR,,http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000544.pdf,"5 V FIXED POSITIVE LDO REGULATOR, 1.2 V DROPOUT, PDSO3, ROHS COMPLIANT, SOT-223, 4 PIN",N,5V Fixed LDO,STMicroelectronics,LD1117S50TR,~,SOT-223,Any,Voltage_Reg
,,U2,LMV358IDGKR,Amplifier_Operational:LMV358,,http://www.ti.com/lit/ds/symlink/lmv358.pdf,"DUAL OP-AMP, 7000uV OFFSET-MAX, 1MHz BAND WIDTH",N,Comparator Op-amp,Texas Instruments,LMV358IDGKR,~,VSSOP8,ANY,Voltage_Mgmt
,,U3,LP2985-33DBVR,Regulator_Linear:LP2985-3.3,~,http://www.ti.com/lit/ds/symlink/lp2985-33.pdf,"3.3V FIXED POSITIVE LDO REGULATOR, 0.575V DROPOUT",N,3V3 Fixed LDO Regulator,Texas Instruments,LP2985-33DBVR,~,SOT-23 5,ANY,Voltage_Mgmt
,,U4,ATMEGA16U2-MU,MFN_Atmel:ATMEGA16U2-MU,,http://www.atmel.com/Images/doc7799.pdf,ATMEGA16U2 Microcontroller,Y,ATMEGA16U2 Microcontroller,Atmel,ATMEGA16U2-MU,~,QFN32,ANY,16U2_Sub
,,U5,ATMEGA328P,MFN_Atmel:ATMEGA328P-PU,~,http://www.atmel.com/images/Atmel-8271-8-bit-AVR-Microcontroller-ATmega48A-48PA-88A-88PA-168A-168PA-328-328P_datasheet_Complete.pdf,IC MCU 8BIT 32KB FLASH 28DIP,Y,ATMEGA328P,Atmel,ATMEGA328P-PU,~,PTH,ANY,328P_Sub
,,VR1,CG0603MLC-05E,Device:Thermistor,~,http://www.bourns.com/data/global/pdfs/mlc.pdf,"VOLTAGE DEPENDENT RESISTOR, 5V, SURFACE MOUNT, CHIP, 0603,",N,ESD Protection Varistor,Bourns,CG0603MLC-05E,~,603,ANY,USB_Cnxn
,,VR2,CG0603MLC-05E,Device:Thermistor,~,http://www.bourns.com/data/global/pdfs/mlc.pdf,"VOLTAGE DEPENDENT RESISTOR, 5V, SURFACE MOUNT, CHIP, 0603,",N,ESD Protection Varistor,Bourns,CG0603MLC-05E,~,603,ANY,USB_Cnxn
,,X1,FOXSLF/160-20,Device:Crystal,~,http://www.foxonline.com/pdfs/hc49slf.pdf,16MHz PARALLEL FUNDAMENTAL 30PPM 20PF LOAD,N,ATMEGA16U2 16MHz Crystal Oscillator,Fox Electronics,FOXSLF/160-20,Must Match Tolerance in PPM and Load Cap Value,PTH,ANY,16U2_Sub
,,X2,CSTCE16MOV53-R0,Arduino_Uno_R3_From_Scratch:CERAMIC_RESONATOR,~,http://www.murata.com/~/media/webrenewal/support/library/catalog/products/timingdevice/ceralock/p16e.ashx,CER RESONATOR 16.0MHZ SMD,Y,ATMEGA328P Oscillator,Murata,CSTCE16M0V53-R0,~,SMD,ANY,328P_Sub
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Collated Components:,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Characteristics,Critical,Description,MFN,MPN,Notes,Package ID,Source,Subsystem
1,2,"C1, C2",47uF,Device:C_Polarized,~,http://images.ihscontent.net/vipimages/VipMasterIC/IC/BEYS/BEYSS04513/BEYSS04513-1.pdf,"CAPACITOR, ALUMINUM ELECTROLYTIC, NON SOLID, POLARIZED, 50 V, 47 uF, SURFACE MOUNT, 3131, CHIP, ROHS COMPLIANT",N,47uF Low ESR LDO Input Cap,Vishay,MAL215371479E3,ESR must fall between 0.33Ω and 22Ω,SMD 5.0 x 5.0 x 5.3,ANY,Voltage_Reg
2,6,"C3, C4, C9, C11, C14, C15",0.1 uF,Device:C,~,http://images.ihscontent.net/vipimages/VipMasterIC/IC/KEME/KEMES10043/KEMES10043-1.pdf,"CAPACITOR, CERAMIC, MULTILAYER, 100 V, X7R, 0.1 uF, SURFACE MOUNT, 0805, CHIP, ROHS COMPLIANT",N,LDO Bypass Cap,Kemet,C0805C104K1RACAUTO,~,SMD_0805,ANY,Voltage_Reg
3,2,"C5, C10",1uF,Device:C,~,http://www.kemet.com/docfinder?Partnumber=C0805C105K8RACAUTO,"CAPACITOR, CERAMIC, MULTILAYER, 10 V, X7R, 1 uF, SURFACE MOUNT, 0805",N,3V3 LDO Input Cap,Kemet,C0805C105K8RACAUTO ,~,SMD_0805,ANY,Voltage_Mgmt
4,1,C6,2.2uF,Device:C,~,http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf,CAP CER 2.2UF 16V X7R 0805,Y,2.2uF 3V3 LDO Output Cap,TDK Corporation,C2012X7R1C225K125AB,Must be between 0.001 and 1Ω ESR,SMD_0805,ANY,Voltage_Mgmt
5,2,"C7, C8",20pF,Device:C,~,http://www.kemet.com/docfinder?Partnumber=C0805C200G5GACTU,CAP CER 20PF 50V 2% NP0 0805,Y,20pF ATMEGA16U2 XTAL Load Cap,Kemet,C0805C200G5GACTU,Must match tolerance,SMD_0805,Any,16U2_Sub
6,1,CON1,BARREL_JACK,Arduino_Uno_R3_From_Scratch:BARREL_JACK,~,http://katalog.we-online.de/em/datasheet/6941xx106102.pdf,"CONN PWR JACK DC RA SMD	",N,9V Barrel Jack,Wurth Electronics,6.94106E+11,Any sub must match footprint,Custom SMD,ANY,Voltage_Reg
7,1,D1,DIODE,Device:D_Filled,~,http://www.onsemi.com/pub_link/Collateral/MRA4003T3-D.PDF,"1A, 1000V, SILICON, SIGNAL DIODE, ROHS COMPLIANT, COMPACT, PLASTIC, CASE 403D-02, SMA, 2 PIN",N,Reverse Voltage Protection Diode,ON Semi,MRA4007T3G,~,R-PDSO-J2,ANY,Voltage_Reg
8,4,"D2, D3, D5, D6",LED,Device:LED_Filled,~,http://www.osram-os.com/Graphics/XPic9/00078860_0.pdf,LED CHIPLED 570NM GREEN,N,Power On Green LED,OSRAM Opto,LG R971-KN-1,~,SMD_0805,ANY,Voltage_Reg
9,2,"D4, D7",1N4148W-7-F,Device:D_Filled,~,http://www.diodes.com/_files/datasheets/ds30086.pdf,DIODE GEN PURP 100V 300MA SOD123,N,ATMEGA16U2 ICSP Reset Voltage Spike Protection,Diodes Inc,1N4148W-7-F,~,SOD123,ANY,16U2_Sub
10,1,FB1,BLM21PG221SN1D,Device:FerriteBead,~,http://search.murata.co.jp/Ceramy/image/img/PDF/ENG/L0110S0100BLM21P.pdf,"2 A, FERRITE CHIP, EIA STD PACKAGE SIZE 0805",N,USB Ferrite Bead,Murata,BLM21PG221SN1D,Must meet 2A tolerance rating,SMD_0805,ANY,USB_Cnxn
11,2,"ICSP1, ICSP2",M20-9980346,Connector_Generic:Conn_02x03_Odd_Even,~,http://cdn.harwin.com/pdfs/M20-998.pdf,"6 CONTACT(S), MALE, STRAIGHT TWO PART BOARD CONNECTOR",N,ATMEGA16U2 ICSP Header,Harwin,M20-9980346,~,PTH,ANY,16U2_Sub
12,1,J1,USB_TYPE_B,Arduino_Uno_R3_From_Scratch:USB_TYPE_B,~,http://images.ihscontent.net/vipimages/VipMasterIC/IC/TYEL/TYELS17825/TYELS17825-1.pdf,"4 CONTACT(S), FEMALE, RIGHT ANGLE USB TYPE-B CONNECTOR",Y,USB Type-B Connector,TE Connectivity,292304-1,Must match footprint,PTH,ANY,USB_Cnxn
13,1,JP2,NO_POP,Connector_Generic:Conn_02x02_Odd_Even,~,~,FOOTPRINT ONLY,FOOTPRINT ONLY,FOOTPRINT ONLY,FOOTPRINT ONLY,FOOTPRINT ONLY,~,PTH,FOOTPRINT ONLY,16U2_Sub
14,1,MF-MSMF050-2,500mA,Device:Thermistor,~,http://www.bourns.com/data/global/pdfs/mfmsmf.pdf,"500mA EMPERATURE DEPENDENT, PTC RESETTABLE FUSE",N,PTC Resettable Fuse on USBVCC,Bourns,MF-MSMF050-2,~,SMD,ANY,USB_Cnxn
15,1,P1,Power Header,Connector_Generic:Conn_01x08,~,http://sullinscorp.com/catalogs/101_PAGE114-115_.100_FEMALE_HDR.pdf,"Connector Header 8 Position 0.100"" (2.54mm) Gold Surface Mount",N,Shield Header 8POS - PWR,Sullins Connector,NPPC081KFXC-RC,~,SMD,ANY,Shield_Headers
16,1,P2,Analog Header,Connector_Generic:Conn_01x06,~,http://sullinscorp.com/catalogs/101_PAGE114-115_.100_FEMALE_HDR.pdf,"Connector Header 6 Position 0.100"" (2.54mm) Gold Surface Mount",N,Shield Header 6POS - ANLG,Sullins Connector,NPPC061KFXC-RC,~,SMD,ANY,Shield_Headers
17,1,P3,Digital Header 02,Connector_Generic:Conn_01x10,~,http://sullinscorp.com/catalogs/101_PAGE114-115_.100_FEMALE_HDR.pdf,"Connector Header 10 Position 0.100"" (2.54mm) Gold Surface Mount",N,Shield Header 10POS - DIG02,Sullins Connector,NPPC101KFXC-RC,~,SMD,ANY,Shield_Headers
18,1,P4,Digital Header 01,Connector_Generic:Conn_01x08,~,http://sullinscorp.com/catalogs/101_PAGE114-115_.100_FEMALE_HDR.pdf,"Connector Header 8 Position 0.100"" (2.54mm) Gold Surface Mount",N,Shield Header 8POS - DIG01,Sullins Connector,NPPC081KFXC-RC,~,SMD,ANY,Shield_Headers
19,1,Q1,FDN340P,Device:Q_PMOS_GSD,~,https://www.fairchildsemi.com/datasheets/FD/FDN340P.pdf,"2000 mA, 20 V, P-CHANNEL, Si, SMALL SIGNAL, MOSFET, SUPERSOT-3",N,USBVCC MOSFET,Fairchild Semiconductor,FDN340P,~,SOT23,ANY,Voltage_Mgmt
20,4,"R1, R4, R10, R11",510,Device:R,~,http://www.yageo.com/pdf/Pu-RC0805_51_PbFree_L_2.pdf,"RESISTOR, METAL GLAZE/THICK FILM, 0.125W, 1%, 100ppm, 510ohm, SURFACE MOUNT, 0805",N,Power On LED Resistor,Yageo,RC0805FR-07510RL,~,SMD_0805,ANY,Voltage_Reg
21,4,"R2, R3, R7, R16",10K,Device:R,~,http://images.ihscontent.net/vipimages/VipMasterIC/IC/VISH/VISHS75859/VISHS75859-1.pdf,"RESISTOR, METAL GLAZE/THICK FILM, 0.125W, 5%, 200ppm, 10000ohm, SURFACE MOUNT, 0805",N,10K Comparator Voltage Divider Resistor,Vishay,CRCW080510K0JNEA,~,SMD_0805,ANY,Voltage_Mgmt
