Individual Components:,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Characteristics,Critical,Description,MFN,MPN,Notes,Package ID,Source,Subsystem
22,2,"R5, R6",22R,Device:R,~,http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/R-Chip/PYu-RC_Group_51_RoHS_L_3.pdf,RES SMD 22 OHM 5% 1/8W 0805,Y,22R USB Termination Resistor,Yageo,RC0805JR-0722RL,Must match 5% tolerance,SMD_0805,ANY,USB_Cnxn
23,2,"R8, R13",0,Device:R,~,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0001+ERJ6GEY0R00V+7+WW,RES SMD 0.0 OHM JUMPER 1/8W 0805,N,ATMEGA16U2 UGND to GND Link,Panasonic,ERJ-6GEY0R00V,~,SMD_0805,ANY,16U2_Sub
24,2,"R9, R17",1M,Device:R,~,http://www.vishay.com/docs/20035/dcrcwe3.pdf,RES SMD 1M OHM 1% 1/8W 0805,N,ATMEGA16U2 Xtal 1M Feedback Resistor,Vishay,CRCW08051M00FKEA,~,SMD_0805,ANY,16U2_Sub
25,3,"R12, R14, R15",1K,Device:R,~,http://images.ihscontent.net/vipimages/VipMasterIC/IC/VISH/VISHS75859/VISHS75859-1.pdf,"METAL GLAZE/THICK FILM, 0.125W, 5%, 200ppm, 1000ohm, SURFACE MOUNT, 0805,",N,ATMEGA328P DTR Pull Down Resistor,Vishay,CRCW08051K00JNEA,~,SMD_0805,ANY,328P_Sub
26,1,SW1,RESET_SWITCH,Arduino_Uno_R3_From_Scratch:RESET_SWITCH,,http://industrial.panasonic.com/www-data/pdf/ATK0000/ATK0000CE28.pdf,SWITCH TACTILE SPST-NO 0.02A 15V,N,Reset Pushbutton,Panasonic,EVQ-Q2U02W,Prefer below 3mm in accuator height off PCB,SMD,ANY,328P_Sub
27,1,U1,LD1117S50TR,MFN_STMicro:LD1117S50TR,,http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000544.pdf,"5 V FIXED POSITIVE LDO REGULATOR, 1.2 V DROPOUT, PDSO3, ROHS COMPLIANT, SOT-223, 4 PIN",N,5V Fixed LDO,STMicroelectronics,LD1117S50TR,~,SOT-223,Any,Voltage_Reg
28,1,U2,LMV358IDGKR,Amplifier_Operational:LMV358,,http://www.ti.com/lit/ds/symlink/lmv358.pdf,"DUAL OP-AMP, 7000uV OFFSET-MAX, 1MHz BAND WIDTH",N,Comparator Op-amp,Texas Instruments,LMV358IDGKR,~,VSSOP8,ANY,Voltage_Mgmt
29,1,U3,LP2985-33DBVR,Regulator_Linear:LP2985-3.3,~,http://www.ti.com/lit/ds/symlink/lp2985-33.pdf,"3.3V FIXED POSITIVE LDO REGULATOR, 0.575V DROPOUT",N,3V3 Fixed LDO Regulator,Texas Instruments,LP2985-33DBVR,~,SOT-23 5,ANY,Voltage_Mgmt
30,1,U4,ATMEGA16U2-MU,MFN_Atmel:ATMEGA16U2-MU,,http://www.atmel.com/Images/doc7799.pdf,ATMEGA16U2 Microcontroller,Y,ATMEGA16U2 Microcontroller,Atmel,ATMEGA16U2-MU,~,QFN32,ANY,16U2_Sub
31,1,U5,ATMEGA328P,MFN_Atmel:ATMEGA328P-PU,~,http://www.atmel.com/images/Atmel-8271-8-bit-AVR-Microcontroller-ATmega48A-48PA-88A-88PA-168A-168PA-328-328P_datasheet_Complete.pdf,IC MCU 8BIT 32KB FLASH 28DIP,Y,ATMEGA328P,Atmel,ATMEGA328P-PU,~,PTH,ANY,328P_Sub
32,2,"VR1, VR2",CG0603MLC-05E,Device:Thermistor,~,http://www.bourns.com/data/global/pdfs/mlc.pdf,"VOLTAGE DEPENDENT RESISTOR, 5V, SURFACE MOUNT, CHIP, 0603,",N,ESD Protection Varistor,Bourns,CG0603MLC-05E,~,603,ANY,USB_Cnxn
33,1,X1,FOXSLF/160-20,Device:Crystal,~,http://www.foxonline.com/pdfs/hc49slf.pdf,16MHz PARALLEL FUNDAMENTAL 30PPM 20PF LOAD,N,ATMEGA16U2 16MHz Crystal Oscillator,Fox Electronics,FOXSLF/160-20,Must Match Tolerance in PPM and Load Cap Value,PTH,ANY,16U2_Sub
34,1,X2,CSTCE16MOV53-R0,Arduino_Uno_R3_From_Scratch:CERAMIC_RESONATOR,~,http://www.murata.com/~/media/webrenewal/support/library/catalog/products/timingdevice/ceralock/p16e.ashx,CER RESONATOR 16.0MHZ SMD,Y,ATMEGA328P Oscillator,Murata,CSTCE16M0V53-R0,~,SMD,ANY,328P_Sub
